,1e-05,1e-06,1e-07
dummy,0.01617588928994007,0.01048833319257149,0.0014243067868271169
year,0.004947710034949682,0.0033367035298575215,0.0004543939614023127
month,0.00773499425142181,0.005297624365738683,0.0007212682791093734
day,0.006054883509239384,0.005049438535073217,0.0006940109665880712
bedrooms,0.0020806540492338955,0.000878424931760902,0.00011605552586940274
bathrooms,0.008901033455747592,0.0029525880306036393,0.00038162153133056284
sqft_living,0.009544875439710325,0.002625065074823288,0.00033219946805143516
sqft_lot,0.00037970636182398137,0.00011784160033857105,1.5124227381957168e-05
floors,0.008159929792610493,0.0027313095831092505,0.00035301753251239807
waterfront,0.0021287091959179974,0.00028542421754476524,3.138108798541412e-05
view,0.008628205228175204,0.0014411358494763236,0.0001672367946907555
condition,0.01073368904074738,0.006413091769193974,0.0008674970775397377
grade,0.01528819882764668,0.005259889437166929,0.0006826031035513792
sqft_above,0.008586579122426578,0.002418089013979757,0.0003069159918898869
sqft_basement,0.006605572587000218,0.0016400896263343838,0.00020471403114136883
yr_built,0.009890699188156868,0.006603669240949807,0.0008972993587898503
yr_renovated,0.0028507085502140084,0.0006426290028279981,7.896027225975501e-05
zipcode,0.004655111131169514,0.00393195193104825,0.000540661719504921
lat,0.016897091842432835,0.007561091329394903,0.0010039645031628133
long,0.004120980199634215,0.002666620387380098,0.00036181861105312175
sqft_living15,0.011555850083334183,0.0036525974040647374,0.00046977199542170677
sqft_lot15,0.0005059974614287807,0.00017681028519499456,2.296731736524816e-05
