,1e-05,1e-06,1e-07
dummy,-0.04243448758043499,-0.005086640780359778,0.01650598530420533
year,0.004395256819044097,-5.28534486046243e-05,0.005075399442017683
month,0.0007067416654770516,-0.004357272935203745,0.007950526639908426
day,-0.0030947456647803097,-0.006606114101767139,0.006408835145506596
bedrooms,-0.0048916180408173394,0.004409063251297576,0.00202755939320096
bathrooms,0.04706600009901257,0.02892215559560022,0.008510708138004952
sqft_living,0.07923767103971024,0.03917625988605571,0.009017142238806624
sqft_lot,0.002827852245394857,0.0013591519996619527,0.00036141912091410905
floors,0.010698498930704873,0.02220940951364846,0.0078058773884311684
waterfront,0.050027916117305796,0.013460229492174194,0.0019505125169794724
view,0.039958457431399814,0.041964146435527844,0.007961073770497278
condition,0.015002718493893168,0.007199234872789248,0.010843156420657842
grade,0.11498586581948989,0.051050997417771984,0.014657049976702608
sqft_above,0.08264959439123132,0.03515177210060562,0.00812342749898221
sqft_basement,0.019355724969296564,0.027396856243054525,0.006204152443779418
yr_built,-0.04417085428760445,-0.013115266267296963,0.010128698725349196
yr_renovated,0.0043433784489978295,0.010812100156822033,0.0026637530318427624
zipcode,-0.013890529175636282,-0.007527340622306276,0.004936808402661584
lat,0.054647583444115355,0.037580291101686016,0.016554540243159534
long,-0.03549827009744194,-0.004418096440152979,0.004203028177557971
sqft_living15,0.05243956681064726,0.04050774956335133,0.011012768204694033
sqft_lot15,7.041910542126216e-05,0.0014534024201024373,0.000485603581836553
